REDE,CLIENTE,LATITUDE,LONGITUDE,BAIRRO,CLASSE SOCIAL,CIDADE,TIPO COMERCIAL,Pontos de Interesse,num_pois,cluster
FRANGOLANDIA,FRANGOLANDIA - GUARARAPES,-3.7703181,-38.4872714,GUARARAPES,C,FORTALEZA,SUPER REGIONAIS,,20,0
FRANGOLANDIA,FRANGOLANDIA - EUSEBIO,-3.8704983,-38.4675121,EUSEBIO,B,EUSEBIO,SUPER REGIONAIS,,20,0
FRANGOLANDIA,FRANGOLANDIA - ALDEOTA,-3.7358277,-38.5013099,ALDEOTA,A,FORTALEZA,SUPER REGIONAIS,,20,4
FRANGOLANDIA,FRANGOLANDIA - COSTA BARROS,-3.730295,-38.512375,COSTA BARROS,A,FORTALEZA,SUPER REGIONAIS,,20,4
FRANGOLANDIA,FRANGOLANDIA - RUI BARBOSA,-3.746295,-38.5125923,RUI BARBOSA,A,FORTALEZA,SUPER REGIONAIS,,20,4
FRANGOLANDIA,FRANGOLANDIA - SANTOS DUMONT,-3.7429041,-38.4794315,SANTOS DUMONT,A,FORTALEZA,SUPER REGIONAIS,,20,4
FRANGOLANDIA,FRANGOLANDIA - MESSEJANA,-3.8322624,-38.4923427,MESSEJANA,C,FORTALEZA,SUPER REGIONAIS,,20,0
FRANGOLANDIA,FRANGOLANDIA - MOLINA CENTER,-3.7929617,-38.4806392,MOLINA CENTER,C,FORTALEZA,SUPER REGIONAIS,,20,0
SUPER DO POVO,SUPER DO POVO - GUARARAPES,-3.761929,-38.4906592,GUARARAPES,C,FORTALEZA,PEQUENOS REGIONAIS,,20,0
SUPER DO POVO,SUPER DO POVO - CONJUNTO CEARA,-3.7694439,-38.6045471,CONJUNTO CEARA,C,FORTALEZA,PEQUENOS REGIONAIS,,20,1
SUPER DO POVO,SUPER DO POVO - HENRIQUE JORGE,-3.7580958,-38.5843396,HENRIQUE JORGE,C,FORTALEZA,PEQUENOS REGIONAIS,,20,1
SUPER DO POVO,SUPER DO POVO - JUREMA,-3.7738473,-38.6282389,JUREMA,C,FORTALEZA,PEQUENOS REGIONAIS,,20,1
SUPER DO POVO,SUPER DO POVO - PASSARE,-3.7930876,-38.5335303,PASSARE,C,FORTALEZA,PEQUENOS REGIONAIS,,20,1
SUPER DO POVO,SUPER DO POVO - MINI MARKET,-3.7426267,-38.5125024,MINI MARKET,A,FORTALEZA,PEQUENOS REGIONAIS,,20,4
SUPER DO POVO,SUPER DO POVO - CAMBEBA,-3.8101342,-38.4938184,CAMBEBA,C,FORTALEZA,PEQUENOS REGIONAIS,,20,0
SUPER DO POVO,SUPER DO POVO - PARQUE DOIS IRMAOS,-3.8211125,-38.5562854,PARQUE DOIS IRMAOS,C,FORTALEZA,PEQUENOS REGIONAIS,,20,1
SUPER DO POVO,SUPER DO POVO - PREF JOSE WALTER,-3.8314092,-38.5605403,PREF JOSE WALTER,C,FORTALEZA,PEQUENOS REGIONAIS,,20,1
